id,name,artist_id,artist,playlist_id,playlist,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode,time_signature
5AoZknxgY6F25gAcVahO41,Southern Cross - 2005 Remaster,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,country rock,folk,folk rock,heartland rock,mellow gold,rock,soft rock",0.668,0.447,-11.124,0.0312,0.48,2.89e-06,0.153,0.588,81.415,281000,2,1,4
3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,67ea9eGLXYMsO2eYQRui3w,The Who,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,british invasion,classic rock,hard rock,rock",0.489,0.724,-8.367,0.0352,0.313,0.185,0.287,0.15,117.292,300400,5,1,4
6txWz9UapYHVxEd7dDIHXT,No Rain,5sD1ZLf2dGQ9gQ3YJl1eAd,Blind Melon,37i9dQZF1DWXRqgorJj26U,Rock Classics,"alternative metal,alternative rock,grunge,pop rock,rock",0.389,0.476,-9.342,0.0316,0.619,5.09e-05,0.255,0.566,148.117,217107,9,1,4
0QeI79sp1vS8L3JgpEO7mD,Let's Go Crazy,5a2EaR3hamoenG9rDuVn8j,Prince,37i9dQZF1DWXRqgorJj26U,Rock Classics,"funk,funk rock,minneapolis sound,rock,synth funk",0.309,0.93,-6.399,0.125,0.0192,0.0022,0.106,0.376,195.815,280000,11,1,4
6cFZ4PLC19taNlpl9pbGMf,Somebody To Love - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,37i9dQZF1DWXRqgorJj26U,Rock Classics,"classic rock,glam rock,rock",0.497,0.693,-7.024,0.0565,0.19,0,0.215,0.358,111.539,296493,8,1,3
0vOkmmJEtjuFZDzrQSFzEE,Hit Me With Your Best Shot,43mhFhQ4JAknA7Ik1bOZuV,Pat Benatar,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,new romantic,new wave pop,rock,singer-songwriter,soft rock",0.741,0.58,-9.05,0.0304,0.117,3.31e-05,0.212,0.944,127.402,171267,4,1,4
3dmqIB2Qxe2XZobw9gXxJ6,Mary Jane's Last Dance,4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",0.464,0.655,-9.058,0.0608,0.0272,1.34e-06,0.328,0.531,169.515,273600,7,0,4
0upLyFR8Rr52ZpMp5esQoq,You Really Got Me - 2015 Remaster,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,hard rock,rock",0.454,0.946,-5.978,0.13,0.0223,0,0.173,0.647,138.18,156147,1,0,4
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,3RGLhK1IP9jnYFH4BRFJBS,The Clash,37i9dQZF1DWXRqgorJj26U,Rock Classics,"alternative rock,permanent wave,punk,rock",0.743,0.836,-6.465,0.116,0.0804,0,0.384,0.82,113.375,188987,2,1,4
61Q9oJNd9hJQFhSDh6Qlap,House Of The Rising Sun,3ICflSq6ZgYAIrm2CTkfVP,The Animals,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,british invasion,classic rock,hard rock,protopunk,psychedelic rock,rock",0.315,0.534,-7.552,0.031,0.000825,0.108,0.101,0.283,116.891,269720,9,0,3
